"zipcode";"state";"fips_regions";"city";"latitude";"longitude"
"00501";"NY";"36";"Holtsville";"40.8154";"-73.0456"
"00544";"NY";"36";"Holtsville";"40.8154";"-73.0456"
"00601";"PR";"72";"Adjuntas";"18.1522";"-66.7367"
"00602";"PR";"72";"Aguada";"18.3753";"-67.1775"
"00603";"PR";"72";"Aguadilla";"18.4586";"-67.1299"
"00604";"PR";"72";"Aguadilla";"18.4888";"-67.1477"
"00605";"PR";"72";"Aguadilla";"18.4289";"-67.1538"
"00606";"PR";"72";"Maricao";"18.1824";"-66.975"
"00611";"PR";"72";"Angeles";"18.2856";"-66.9698"
"00612";"PR";"72";"Arecibo";"18.4134";"-66.6891"
"00616";"PR";"72";"Bajadero";"18.4055";"-66.6712"
"00617";"PR";"72";"Barceloneta";"18.4521";"-66.5581"
"00623";"PR";"72";"Cabo Rojo";"18.0375";"-67.1537"
"00624";"PR";"72";"Alt de Penuelas";"18.0112";"-66.3514"
"00627";"PR";"72";"Camuy";"18.4285";"-66.8499"
"00631";"PR";"72";"Adjuntas";"18.1803";"-66.8261"
"00636";"PR";"72";"Rosario";"18.1647";"-67.0797"
"00637";"PR";"72";"Sabana Grande";"18.0872";"-66.9273"
"00638";"PR";"72";"Ciales";"18.3092";"-66.4867"
"00641";"PR";"72";"Utuado";"18.2858";"-66.7367"
"00646";"PR";"72";"Dorado";"18.4337";"-66.2903"
"00647";"PR";"72";"Ensenada";"17.9692";"-66.9631"
"00650";"PR";"72";"Florida";"18.3565";"-66.5938"
"00652";"PR";"72";"Garrochales";"18.4519";"-66.5998"
"00656";"PR";"72";"Guayanilla";"18.0373";"-66.7963"
"00659";"PR";"72";"Hatillo";"18.4637";"-66.8201"
"00660";"PR";"72";"Hormigueros";"18.1431";"-67.106"
"00662";"PR";"72";"Isabela";"18.4561";"-67.0226"
"00664";"PR";"72";"Jayuya";"18.223";"-66.5938"
"00667";"PR";"72";"Lajas";"18.0033";"-67.0584"
"00669";"PR";"72";"Lares";"18.3041";"-66.8797"
"00670";"PR";"72";"Las MarÃ­as";"18.2505";"-67.0286"
"00676";"PR";"72";"Moca";"18.3886";"-67.106"
"00678";"PR";"72";"Quebradillas";"18.444";"-66.9273"
"00681";"PR";"72";"Mayaguez";"18.1211";"-67.0824"
"00687";"PR";"72";"Morovis";"18.3318";"-66.4033"
"00688";"PR";"72";"Sabana Hoyos";"18.35";"-66.6296"
"00690";"PR";"72";"San Antonio";"18.4907";"-67.0971"
"00692";"PR";"72";"Vega Alta";"18.3987";"-66.32"
"00693";"PR";"72";"Vega Baja";"18.4207";"-66.4033"
"00694";"PR";"72";"Vega Baja";"18.4465";"-66.3884"
"00698";"PR";"72";"Yauco";"18.0656";"-66.8439"
"00703";"PR";"72";"Aguas Buenas";"18.2626";"-66.1296"
"00704";"PR";"72";"Aguirre";"18.2501";"-66.1032"
"00705";"PR";"72";"Aibonito";"18.1354";"-66.2605"
"00707";"PR";"72";"Maunabo";"17.9968";"-65.9215"
"00714";"PR";"72";"Arroyo";"17.9807";"-66.0523"
"00715";"PR";"72";"Bo Bucana";"18.1144";"-66.8568"
"00717";"PR";"72";"Ponce";"18.0004";"-66.6147"
"00718";"PR";"72";"Naguabo";"18.25";"-65.7847"
"00719";"PR";"72";"Naranjito";"18.2782";"-66.2486"
"00720";"PR";"72";"Orocovis";"18.2428";"-66.4033"
"00723";"PR";"72";"Patillas";"18.0252";"-66.0107"
"00725";"PR";"72";"Caguas";"18.2191";"-66.0315"
"00726";"PR";"72";"Caguas";"18.1217";"-66.0493"
"00727";"PR";"72";"Caguas";"18.2119";"-66.082"
"00728";"PR";"72";"Ponce";"18.0829";"-66.6296"
"00729";"PR";"72";"CanÃ³vanas";"18.3863";"-65.8917"
"00730";"PR";"72";"Ponce";"18.0253";"-66.701"
"00731";"PR";"72";"Ponce";"17.9952";"-66.6831"
"00732";"PR";"72";"Ponce";"18.0133";"-66.6146"
"00733";"PR";"72";"Ponce";"18.0133";"-66.6146"
"00734";"PR";"72";"Ponce";"18.0133";"-66.6146"
"00735";"PR";"72";"Ceiba";"18.2436";"-65.654"
"00736";"PR";"72";"Cayey";"18.1168";"-66.1177"
"00737";"PR";"72";"Cayey";"18.1138";"-66.1667"
"00738";"PR";"72";"Fajardo";"18.3479";"-65.648"
"00739";"PR";"72";"Cidra";"18.1991";"-66.1534"
"00741";"PR";"72";"Punta Santiago";"18.1709";"-65.7728"
"00742";"PR";"72";"Ceiba";"18.2666";"-65.6482"
"00744";"PR";"72";"Rio Blanco";"18.2202";"-65.7902"
